bhk,price,total_sqft,location,price_per_sqft
1.0,28.0,635.0,"Mahatmanagar, Parijat Nagar, Nashik, Maharashtra",440.9448818897638
1.0,16.0,650.0,Park,246.15384615384616
2.0,47.5,832.0,"Hanuman Nagar, Dasak, Nashik, Maharashtra",570.9134615384615
2.0,24.0,730.0,"Nashik Road, Vadner Dumala, Nashik, Maharashtra, 422401",328.7671232876712
1.0,12.75,430.0,Laxmi Darshan Apartment,296.51162790697674
1.0,16.0,650.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",246.15384615384616
2.0,51.0,1057.0,"Nashik Road, Nashik, Maharashtra",482.4976348155156
1.0,20.0,580.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",344.82758620689657
1.0,17.0,675.0,"Satpur, Nashik, Maharashtra",251.85185185185185
2.0,30.0,850.0,"Veduwadi, Agar Takali, Nashik, Maharashtra",352.94117647058823
2.0,38.0,875.0,"Professors Colony Road, Panchavati, Nashik, Maharashtra, 422003",434.2857142857143
1.0,21.0,735.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",285.7142857142857
1.0,17.0,475.0,"Pimplagaon Baswant, Niphad, Nashik, Maharashtra",357.89473684210526
2.0,35.0,842.0,"Prabhat Colony, Cidco, Nashik, Maharashtra",415.67695961995247
2.0,30.0,1000.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",300.0
2.0,47.0,1050.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",447.6190476190476
1.0,22.0,624.0,Shree Umiya Darshan,352.56410256410254
3.0,48.0,1250.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",384.0
2.0,35.5,2000.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",177.5
1.0,21.0,605.0,"Wadala, Nashik, Maharashtra",347.10743801652893
3.0,72.0,1465.0,"Professors Colony Road, Panchavati, Nashik, Maharashtra, 422003",491.4675767918089
1.0,20.0,575.0,"Nashik Road, Nashik, Maharashtra",347.82608695652175
1.0,18.0,750.0,"Nashik Road, Nashik, Maharashtra",240.0
1.0,22.51,630.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",357.30158730158735
3.0,40.0,1574.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",254.12960609911056
1.0,16.0,600.0,"Chetana Nagar, Indira Nagar, Nashik, Maharashtra",266.6666666666667
2.0,26.0,835.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",311.377245508982
1.0,15.0,500.0,"Gangapur, Nashik, Maharashtra",300.0
2.0,29.51,815.0,"Satpur, Nashik, Maharashtra",362.0858895705521
1.0,17.0,550.0,Adarsh Credit Co-Operative Society-Nashik Road,309.09090909090907
1.0,17.0,550.0,Adarsh Credit Co-Operative Society-Nashik Road,309.09090909090907
1.0,18.0,554.0,"Makhmalabad, Makhamalabad, Nashik, Maharashtra",324.9097472924188
1.0,12.0,444.0,"Veduwadi, Agar Takali, Nashik, Maharashtra",270.27027027027026
2.0,30.0,846.0,"Panchavati, Nashik, Maharashtra",354.6099290780142
2.0,33.0,1010.0,"Kala Nagar, Indira Nagar, Nashik, Maharashtra",326.73267326732673
3.0,80.0,1472.0,"Balawant Nagar, Anandvalli, Nashik, Maharashtra",543.4782608695652
2.0,48.0,1480.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",324.3243243243243
1.0,22.0,780.0,"Konark Nagar, Adgaon, Nashik, Maharashtra",282.05128205128204
2.0,34.99,1100.0,"Anand Vihar Colony, Veer Savarkar Nagar, Nashik, Maharashtra",318.09090909090907
2.0,40.0,975.0,"Samta Nagar, Satpur, Nashik, Maharashtra",410.2564102564103
3.0,50.0,1084.0,Gayakhe Colony,461.2546125461255
1.0,27.5,685.0,"Hirawadi, Panchavati, Nashik, Maharashtra",401.45985401459853
1.0,21.0,575.0,Yashodhan Apartment,365.2173913043478
